Noise: Hacker Extraordinaire,anarch,identity,core,"Whenever you install a <strong>virus</strong> program, the Corp trashes the top card of R&D.",G-mod
Deja Vu,anarch,event,core
Demolition Run,anarch,event,core,"Run HQ or R&D.
Access → <strong>0[credit]:</strong> Trash the card you are accessing.",Run - Sabotage
Stimhack,anarch,event,core,"Place 9[credit] on this event, then run any server. During that run, hosted credits are considered to be in your credit pool. When the run ends, suffer 1 brain damage, which cannot be prevented.
<errata>Errata from CR 1.4</errata>",Run
Cyberfeeder,anarch,hardware,core,"1[recurring-credit]
Use this credit to pay for using <strong>icebreakers</strong> or for installing <strong>virus</strong> programs.",Chip
Grimoire,anarch,hardware,core,"+2[mu]
Whenever you install a <strong>virus</strong> program, place 1 virus counter on that program.
Limit 1 <strong>console</strong> per player.",Console
Corroder,anarch,program,core,"Interface → 1[credit]: Break 1 <strong>barrier</strong> subroutine.
1[credit]: +1 strength.",Icebreaker - Fracter
Datasucker,anarch,program,core,"Whenever you make a successful run on a central server, place 1 virus counter on Datasucker.
<strong>Hosted virus counter:</strong> Rezzed piece of ice currently being encountered has -1 strength until the end of the encounter.",Virus
Djinn,anarch,program,core,"Djinn can host up to 3[mu] of non-<strong>icebreaker</strong> programs.
The memory costs of hosted programs do not count against your memory limit.
[click], 1[credit]: Search your stack for a <strong>virus</strong> program, reveal it, and add it to your grip. Shuffle your stack.",Daemon
Medium,anarch,program,core,"Whenever you make a successful run on R&D, place 1 virus counter on this program.
Whenever you breach R&D, choose a number less than the number of hosted virus counters. Access that many additional cards.",Virus
Mimic,anarch,program,core,Interface → 1[credit]: Break 1 <strong>sentry</strong> subroutine.,Icebreaker - Killer
Parasite,anarch,program,core,"Install Parasite only on a rezzed piece of ice.
Host ice has -1 strength for each virus counter on Parasite and is trashed if its strength is 0 or less.
When your turn begins, place 1 virus counter on Parasite.",Virus
Wyrm,anarch,program,core,"Interface → <strong>3[credit]:</strong> Break 1 subroutine on a piece of ice with 0 or less strength.
Interface → <strong>1[credit]:</strong> The ice you are encountering gets -1 strength for the remainder of this encounter.
<strong>1[credit]:</strong> +1 strength.",Icebreaker - AI
Yog.0,anarch,program,core,Interface → <strong>0[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.,Icebreaker - Decoder
Ice Carver,anarch,resource,core,"While you are encountering a piece of ice, it gets -1 strength.",Virtual
Wyldside,anarch,resource,core,"When your turn begins, draw 2 cards and lose [click].",Location - Seedy
Gabriel Santiago: Consummate Professional,criminal,identity,core,"The first time you make a successful run on HQ each turn, gain 2[credit].",Cyborg
Account Siphon,criminal,event,core,"Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5[credit], then you gain 2[credit] for each credit lost and take 2 tags.",Run - Sabotage
Easy Mark,criminal,event,core,Gain 3[credit].,Job
Forged Activation Orders,criminal,event,core,"Choose 1 unrezzed piece of ice. The Corp may rez that ice. If they do not, they trash it.",Sabotage
Inside Job,criminal,event,core,"Run any server. The first time this run you encounter a piece of ice, bypass it.",Run
Special Order,criminal,event,core
Lemuria Codecracker,criminal,hardware,core
Desperado,criminal,hardware,core,"+1[mu]
Gain 1[credit] whenever you make a successful run.
Limit 1 <strong>console</strong> per player.",Console
Aurora,criminal,program,core,"Interface → <strong>2[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>2[credit]:</strong> +3 strength.",Icebreaker - Fracter
Femme Fatale,criminal,program,core,"Interface → 1[credit]: Break 1 <strong>sentry</strong> subroutine.
2[credit]: +1 strength.
When you install this program, choose 1 installed piece of ice.
Whenever you encounter the chosen ice, you may pay 1[credit] for each subroutine it has. If you do, bypass that ice.",Icebreaker - Killer
Ninja,criminal,program,core,"Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>3[credit]:</strong> +5 strength.",Icebreaker - Killer
Sneakdoor Beta,criminal,program,core
Bank Job,criminal,resource,core,"When you install this resource, load 8[credit] on it. When it is empty, trash it.
Whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.",Job
Crash Space,criminal,resource,core,"2[recurring-credit]
Use these credits to pay for removing tags.
[trash]: Prevent up to 3 meat damage.",Location
